index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_value,profit_value,status,week,month,year,season,road,house_number,city,county,state,season_median,sell_price,increase_percent)
9,8820902540,2014-11-14,425000.0,2,1,1670,6212,1,0,0,4,7,1670,0,1947,0,98125,47.7152,-122.282,1670,7272,425000.0,127500.0,Buy,46,11,2014,fall,Beach Drive Northeast,NA,NA,King County,Washington,450000.0,552500.0,30.0
25,5272200040,2014-11-21,375000.0,3,1,1000,6947,1,0,0,4,7,1000,0,1947,0,98125,47.7142,-122.319,1000,6947,425000.0,112500.0,Buy,47,11,2014,fall,Northeast 151st Street,949,NA,King County,Washington,450000.0,487500.0,30.0
51,8820903560,2014-12-16,380000.0,2,1,700,4836,1,0,0,4,6,700,0,1926,0,98125,47.7139,-122.288,1190,7050,425000.0,114000.0,Buy,51,12,2014,fall,39th Avenue Northeast,14899,NA,King County,Washington,450000.0,494000.0,30.0
63,9324800025,2014-11-25,325500.0,3,1,1540,8110,1,0,0,4,7,1190,350,1959,0,98125,47.7329,-122.291,1290,8110,425000.0,97650.0,Buy,48,11,2014,fall,Bothell Way Northeast,15001,NA,King County,Washington,450000.0,423150.0,30.0
67,8822900115,2014-12-09,306000.0,2,1,1200,2622,1,0,0,5,7,800,400,1956,0,98125,47.7175,-122.292,1310,1926,425000.0,91800.0,Buy,50,12,2014,fall,Bothell Way Northeast,14801,NA,King County,Washington,450000.0,397800.0,30.0
74,7297700055,2015-03-05,306000.0,3,1,1190,10350,1,0,0,4,7,1190,0,1959,0,98028,47.7428,-122.244,1850,10500,442500.0,91800.0,Buy,10,3,2015,winter,Northeast 150th Street,7306,NA,King County,Washington,450000.0,397800.0,30.0
85,3582750280,2015-03-26,347000.0,2,1,1315,2162,2,0,0,4,8,1315,0,1974,0,98028,47.752,-122.253,1640,2128,442500.0,104100.0,Buy,13,3,2015,winter,Northeast Arrowhead Drive,6725,NA,King County,Washington,450000.0,451100.0,30.0
94,3816300105,2015-01-12,435000.0,4,2,2060,10125,2,0,0,4,7,1560,500,1979,0,98028,47.764,-122.262,1760,9876,442500.0,130500.0,Buy,3,1,2015,winter,Northeast 150th Street,6198,NA,King County,Washington,450000.0,565500.0,30.0
112,3649100346,2015-01-09,322968.0,5,1,1890,9600,1,0,0,4,7,1890,0,1960,0,98028,47.7391,-122.241,2350,5308,442500.0,96890.40000000002,Buy,2,1,2015,winter,75th Avenue Northeast,15021,NA,King County,Washington,450000.0,419858.4,30.000000000000004
113,6181700250,2015-02-26,350000.0,2,1,720,5820,1,0,1,5,6,720,0,1950,0,98028,47.7598,-122.255,952,5820,442500.0,105000.0,Buy,9,2,2015,winter,65th Avenue Northeast,15122,NA,King County,Washington,450000.0,455000.0,30.0
117,3649100031,2015-03-05,345000.0,4,1,2020,18150,1,0,0,4,7,2020,0,1955,0,98028,47.739,-122.249,1530,11970,442500.0,103500.0,Buy,10,3,2015,winter,Northeast 153rd Place,6825,NA,King County,Washington,450000.0,448500.0,30.0
145,1090000075,2014-12-16,393000.0,2,1,1020,4200,1,0,0,5,6,1020,0,1923,0,98136,47.5319,-122.391,1660,4200,489950.0,117900.0,Buy,51,12,2014,fall,NA,NA,NA,King County,Washington,500000.0,510900.0,30.0
150,3560800040,2014-10-28,400000.0,2,1,960,6200,1,0,0,4,7,960,0,1946,0,98136,47.5551,-122.396,1000,6000,489950.0,120000.0,Buy,44,10,2014,fall,NA,NA,Seattle,King County,Washington,500000.0,520000.0,30.0
155,3123800080,2014-11-12,365000.0,2,1,1160,8060,1,0,0,4,7,1160,0,1950,0,98136,47.5146,-122.386,1500,8060,489950.0,109500.0,Buy,46,11,2014,fall,NA,NA,NA,King County,Washington,500000.0,474500.0,30.0
